State,FIPS,Q2_r5_p,Q2_r5_p_se,Q2_r5_estab,Q2_r5_estab_se,Q2_r5_pemp,Q2_r5_pemp_se,Q2_r5_emp,Q2_r5_emp_se,Q2_r6_p,Q2_r6_p_se,Q2_r6_estab,Q2_r6_estab_se,Q2_r6_pemp,Q2_r6_pemp_se,Q2_r6_emp,Q2_r6_emp_se,Q2_r7_p,Q2_r7_p_se,Q2_r7_estab,Q2_r7_estab_se,Q2_r7_pemp,Q2_r7_pemp_se,Q2_r7_emp,Q2_r7_emp_se,Q2_r8_p,Q2_r8_p_se,Q2_r8_estab,Q2_r8_estab_se,Q2_r8_pemp,Q2_r8_pemp_se,Q2_r8_emp,Q2_r8_emp_se,Q2_r9_p,Q2_r9_p_se,Q2_r9_estab,Q2_r9_estab_se,Q2_r9_pemp,Q2_r9_pemp_se,Q2_r9_emp,Q2_r9_emp_se,Q2_r10_p,Q2_r10_p_se,Q2_r10_estab,Q2_r10_estab_se,Q2_r10_pemp,Q2_r10_pemp_se,Q2_r10_emp,Q2_r10_emp_se,Q2_r12_p,Q2_r12_p_se,Q2_r12_estab,Q2_r12_estab_se,Q2_r12_pemp,Q2_r12_pemp_se,Q2_r12_emp,Q2_r12_emp_se
New Jersey,34,5.73,0.52,13238.0,1206.0,11.42,1.69,397389.0,58858.0,59.01,1.23,136450.0,2850.0,63.37,1.97,2205860.0,68448.0,5.13,0.5,11872.0,1163.0,12.38,1.75,431014.0,60925.0,33.31,1.1,77009.0,2542.0,37.63,1.89,1309681.0,65791.0,5.95,0.51,13750.0,1174.0,12.94,1.75,450385.0,60945.0,11.83,0.81,27360.0,1863.0,13.02,1.46,453205.0,50688.0,31.62,1.13,73115.0,2621.0,24.24,1.62,843828.0,56419.0
New Mexico,35,6.7,0.52,3294.0,254.0,11.4,1.69,74782.0,11110.0,49.59,1.02,24363.0,503.0,62.03,2.0,406849.0,13088.0,4.48,0.41,2203.0,203.0,11.58,1.59,75974.0,10410.0,29.31,0.87,14399.0,428.0,43.1,2.0,282678.0,13087.0,4.85,0.43,2381.0,211.0,6.52,1.51,42784.0,9911.0,9.98,0.63,4904.0,307.0,14.11,1.58,92536.0,10380.0,39.65,1.0,19481.0,492.0,27.5,1.77,180327.0,11580.0
New York,36,4.19,0.48,22206.0,2564.0,8.33,1.38,672717.0,111826.0,59.61,1.31,316000.0,6929.0,63.31,2.02,5113990.0,162870.0,4.04,0.5,21438.0,2655.0,12.46,1.63,1006308.0,131480.0,32.56,1.19,172618.0,6329.0,36.1,2.19,2915657.0,177044.0,5.79,0.58,30667.0,3095.0,10.47,1.5,845802.0,121516.0,13.54,0.91,71780.0,4811.0,16.32,1.71,1318476.0,138320.0,31.51,1.22,167002.0,6473.0,23.63,1.58,1909013.0,127254.0
North Carolina,37,6.38,0.59,16340.0,1517.0,11.11,1.36,421801.0,51556.0,45.76,1.16,117215.0,2975.0,55.98,1.79,2124308.0,67859.0,4.62,0.49,11840.0,1259.0,7.25,1.05,275180.0,39853.0,28.56,1.01,73152.0,2596.0,38.49,1.53,1460702.0,58013.0,5.66,0.55,14499.0,1396.0,8.29,1.05,314628.0,39886.0,11.53,0.77,29523.0,1964.0,15.46,1.41,586535.0,53567.0,41.8,1.16,107066.0,2978.0,29.7,1.37,1127216.0,52167.0
North Dakota,38,5.57,0.51,1558.0,143.0,10.73,0.87,37833.0,3063.0,43.66,1.09,12208.0,304.0,55.21,1.16,194694.0,4090.0,4.03,0.45,1126.0,125.0,8.4,1.12,29616.0,3938.0,28.26,0.96,7904.0,268.0,38.64,1.53,136278.0,5389.0,4.59,0.44,1282.0,122.0,9.16,1.17,32308.0,4110.0,8.84,0.69,2471.0,192.0,13.76,2.3,48522.0,8100.0,48.25,1.08,13492.0,301.0,33.16,1.23,116945.0,4323.0
Ohio,39,8.24,0.61,22046.0,1646.0,13.83,1.33,651862.0,62646.0,52.29,1.1,139987.0,2949.0,64.09,1.37,3021927.0,64691.0,6.67,0.56,17846.0,1501.0,13.66,1.96,644063.0,92368.0,28.47,0.94,76201.0,2504.0,42.66,1.34,2011254.0,63030.0,8.16,0.59,21836.0,1577.0,11.57,1.09,545549.0,51275.0,8.82,0.65,23604.0,1734.0,14.19,1.41,668865.0,66352.0,34.93,1.07,93509.0,2852.0,20.99,1.24,989618.0,58419.0
Oklahoma,40,5.78,0.48,5654.0,469.0,12.74,1.64,165601.0,21350.0,46.37,1.09,45367.0,1070.0,58.47,1.91,759930.0,24838.0,4.56,0.46,4464.0,451.0,8.14,1.57,105731.0,20358.0,26.07,0.92,25511.0,904.0,36.75,1.87,477642.0,24291.0,4.32,0.45,4231.0,436.0,7.3,1.37,94886.0,17795.0,9.25,0.68,9051.0,661.0,11.37,1.7,147742.0,22088.0,47.33,1.07,46309.0,1050.0,33.46,1.72,434835.0,22323.0
Oregon,41,7.37,0.57,9724.0,759.0,12.6,1.73,209725.0,28855.0,50.21,1.07,66276.0,1417.0,61.57,1.41,1025024.0,23492.0,5.87,0.51,7746.0,675.0,11.09,1.61,184643.0,26827.0,30.01,0.91,39610.0,1201.0,42.12,1.55,701172.0,25829.0,9.21,0.59,12159.0,784.0,12.5,1.25,208124.0,20773.0,8.54,0.64,11269.0,845.0,12.24,1.37,203710.0,22884.0,38.05,1.05,50227.0,1381.0,26.54,1.37,441805.0,22877.0
Pennsylvania,42,5.34,0.49,17484.0,1594.0,11.24,1.29,589449.0,67727.0,59.56,1.14,194846.0,3744.0,68.1,1.48,3571995.0,77667.0,5.29,0.49,17313.0,1614.0,13.01,1.36,682204.0,71304.0,30.98,1.07,101329.0,3505.0,36.53,1.52,1916272.0,79974.0,7.85,0.53,25693.0,1720.0,15.4,1.37,807947.0,71690.0,10.14,0.7,33166.0,2298.0,13.94,1.09,731019.0,57284.0,31.81,1.1,104074.0,3596.0,20.14,1.21,1056297.0,63588.0
Puerto Rico,72,7.81,0.49,3442.0,217.0,19.2,1.45,130456.0,9881.0,71.97,0.86,31738.0,379.0,71.74,1.72,487521.0,11668.0,5.08,0.42,2239.0,184.0,9.46,1.33,64268.0,9018.0,48.77,0.93,21507.0,410.0,52.77,1.58,358588.0,10738.0,2.8,0.3,1236.0,133.0,3.56,0.98,24200.0,6635.0,12.37,0.63,5453.0,276.0,10.34,1.05,70281.0,7115.0,20.02,0.76,8829.0,335.0,15.62,1.06,106142.0,7181.0
Rhode Island,44,6.77,0.55,2353.0,193.0,17.31,2.28,73244.0,9647.0,54.74,1.18,19023.0,411.0,62.69,1.61,265308.0,6816.0,5.27,0.49,1832.0,170.0,13.06,1.38,55277.0,5838.0,25.88,1.0,8994.0,346.0,31.67,2.4,134046.0,10155.0,7.87,0.52,2734.0,181.0,16.6,1.52,70235.0,6432.0,8.83,0.71,3068.0,247.0,10.82,1.37,45785.0,5819.0,37.29,1.15,12960.0,398.0,21.22,1.49,89806.0,6320.0
South Carolina,45,6.0,0.51,7288.0,615.0,11.38,1.24,202190.0,21990.0,44.55,1.09,54128.0,1329.0,57.82,1.92,1027809.0,34056.0,4.27,0.44,5186.0,537.0,9.44,1.24,167831.0,21984.0,24.52,0.9,29798.0,1088.0,34.05,1.88,605207.0,33350.0,4.17,0.4,5067.0,487.0,7.3,1.23,129711.0,21932.0,9.03,0.67,10976.0,814.0,11.05,1.68,196374.0,29898.0,49.2,1.09,59783.0,1329.0,33.94,1.9,603308.0,33806.0
South Dakota,46,5.45,0.4,1670.0,123.0,14.02,1.65,49919.0,5872.0,40.35,0.98,12359.0,300.0,51.02,2.47,181639.0,8804.0,5.52,0.42,1690.0,128.0,14.3,1.6,50911.0,5695.0,21.92,0.76,6714.0,231.0,29.74,1.87,105893.0,6661.0,5.71,0.41,1748.0,125.0,8.97,1.62,31921.0,5779.0,5.72,0.49,1751.0,150.0,7.14,1.5,25425.0,5350.0,52.99,0.97,16230.0,296.0,36.2,1.38,128864.0,4915.0
Tennessee,47,6.8,0.52,10179.0,782.0,13.56,1.47,354358.0,38533.0,48.86,1.11,73141.0,1655.0,57.21,1.83,1495216.0,47785.0,4.78,0.45,7152.0,667.0,10.88,1.29,284431.0,33752.0,26.28,0.92,39336.0,1382.0,33.73,1.86,881589.0,48498.0,5.96,0.5,8921.0,756.0,9.98,1.39,260813.0,36248.0,8.82,0.64,13202.0,965.0,11.7,1.41,305846.0,36804.0,43.69,1.1,65408.0,1646.0,30.53,1.73,797925.0,45252.0
